timestamp,ambient_light_lux,occupancy_count,motion_detected,hour,Current Light Lumen,GT - Target,User Input,trigger,ambient_base_lux,lamp_lux
2026-05-18T00:00:00,9.0,0,FALSE,0.0000,0,0-0,None,scheduled_30m,9.0,0.0
2026-05-18T00:30:00,6.8,0,FALSE,0.5000,0,0-0,None,scheduled_30m,6.8,0.0
2026-05-18T01:00:00,3.4,0,FALSE,1.0000,0,0-0,None,scheduled_30m,3.4,0.0
2026-05-18T01:30:00,7.6,0,FALSE,1.5000,0,0-0,None,scheduled_30m,7.6,0.0
2026-05-18T02:00:00,4.4,0,FALSE,2.0000,0,0-0,None,scheduled_30m,4.4,0.0
2026-05-18T02:30:00,7.5,0,FALSE,2.5000,0,0-0,None,scheduled_30m,7.5,0.0
2026-05-18T03:00:00,4.9,0,FALSE,3.0000,0,0-0,None,scheduled_30m,4.9,0.0
2026-05-18T03:30:00,5.9,0,FALSE,3.5000,0,0-0,None,scheduled_30m,5.9,0.0
2026-05-18T04:00:00,10.4,0,FALSE,4.0000,0,0-0,None,scheduled_30m,10.4,0.0
2026-05-18T04:30:00,7.6,0,FALSE,4.5000,0,0-0,None,scheduled_30m,7.6,0.0
2026-05-18T05:00:00,3.1,0,FALSE,5.0000,0,0-0,None,scheduled_30m,3.1,0.0
2026-05-18T05:30:00,3.7,0,FALSE,5.5000,0,0-0,None,scheduled_30m,3.7,0.0
2026-05-18T06:00:00,142.7,0,FALSE,6.0000,0,0-0,None,scheduled_30m,142.7,0.0
2026-05-18T06:30:00,125.4,0,FALSE,6.5000,0,0-0,None,scheduled_30m,125.4,0.0
2026-05-18T07:00:00,32.9,0,FALSE,7.0000,0,0-0,None,scheduled_30m,32.9,0.0
2026-05-18T07:30:00,76.8,0,FALSE,7.5000,0,0-0,None,scheduled_30m,76.8,0.0
2026-05-18T08:00:00,227.0,0,FALSE,8.0000,0,0-0,None,scheduled_30m,227.0,0.0
2026-05-18T08:30:00,154.2,0,FALSE,8.5000,0,0-0,None,scheduled_30m,154.2,0.0
2026-05-18T09:00:00,192.3,0,FALSE,9.0000,0,0-0,None,scheduled_30m,192.3,0.0
2026-05-18T09:30:00,233.1,0,FALSE,9.5000,0,0-0,None,scheduled_30m,233.1,0.0
2026-05-18T10:00:00,191.6,1,FALSE,10.0000,0,822-2336,None,scheduled_30m,191.6,0.0
2026-05-18T10:30:00,386.9,1,FALSE,10.5000,1579,921-2435,None,scheduled_30m,178.5,208.4
2026-05-18T11:00:00,478.4,1,TRUE,11.0000,1678,327-1841,None,scheduled_30m,256.9,221.5
2026-05-18T11:30:00,358.5,1,TRUE,11.5000,1084,641-2156,None,scheduled_30m,215.4,143.1
2026-05-18T12:00:00,622.2,1,TRUE,12.0000,1399,0-473,None,scheduled_30m,437.5,184.7
2026-05-18T12:30:00,309.2,1,FALSE,12.5000,0,0-1445,None,scheduled_30m,309.2,0.0
2026-05-18T13:00:00,588.2,1,FALSE,13.0000,688,0-19,None,scheduled_30m,497.4,90.8
2026-05-18T13:30:00,429.5,1,TRUE,13.5000,0,0-534,None,scheduled_30m,429.5,0.0
2026-05-18T14:00:00,334.1,1,TRUE,14.0000,0,0-0,None,scheduled_30m,334.1,0.0
2026-05-18T14:30:00,1028.0,1,TRUE,14.5000,0,0-0,None,scheduled_30m,1028.0,0.0
2026-05-18T15:00:00,452.8,1,TRUE,15.0000,0,0-0,None,scheduled_30m,452.8,0.0
2026-05-18T15:30:00,455.0,2,FALSE,15.5000,0,0-0,None,scheduled_30m,455.0,0.0
2026-05-18T16:00:00,401.6,2,FALSE,16.0000,606,0-0,None,scheduled_30m,321.6,80.0
2026-05-18T16:30:00,316.7,2,FALSE,16.5000,0,0-0,None,scheduled_30m,316.7,0.0
2026-05-18T17:00:00,219.7,2,FALSE,17.0000,606,457-1214,None,scheduled_30m,139.7,80.0
2026-05-18T17:30:00,378.0,3,FALSE,17.5000,836,0-245,None,scheduled_30m,267.7,110.3
2026-05-18T18:00:00,29.3,3,FALSE,18.0000,0,1294-2050,None,scheduled_30m,29.3,0.0
2026-05-18T18:30:00,403.5,2,TRUE,18.5000,1672,131-887,None,scheduled_30m,182.8,220.7
2026-05-18T19:00:00,215.9,2,TRUE,19.0000,509,389-1146,None,scheduled_30m,148.7,67.2
2026-05-18T19:30:00,213.5,1,FALSE,19.5000,767,665-1422,None,scheduled_30m,112.3,101.2
2026-05-18T20:00:00,248.0,1,FALSE,20.0000,1043,680-1436,None,scheduled_30m,110.3,137.7
2026-05-18T20:30:00,190.4,1,FALSE,20.5000,1058,1131-1888,None,scheduled_30m,50.8,139.6
2026-05-18T21:00:00,280.7,1,FALSE,21.0000,1509,898-1655,None,scheduled_30m,81.5,199.2
2026-05-18T21:30:00,241.3,2,FALSE,21.5000,1277,965-1721,None,scheduled_30m,72.7,168.6
2026-05-18T22:00:00,199.4,0,FALSE,22.0000,1343,0-0,None,scheduled_30m,22.1,177.3
2026-05-18T22:30:00,9.3,0,FALSE,22.5000,0,0-0,None,scheduled_30m,9.3,0.0
2026-05-18T23:00:00,19.0,0,FALSE,23.0000,0,0-0,None,scheduled_30m,19.0,0.0
2026-05-18T23:30:00,4.0,0,FALSE,23.5000,0,0-0,None,scheduled_30m,4.0,0.0
2026-05-19T00:00:00,10.5,0,FALSE,0.0000,0,0-0,None,scheduled_30m,10.5,0.0
2026-05-19T00:30:00,12.3,0,FALSE,0.5000,0,0-0,None,scheduled_30m,12.3,0.0
2026-05-19T01:00:00,10.2,0,FALSE,1.0000,0,0-0,None,scheduled_30m,10.2,0.0
2026-05-19T01:30:00,12.3,0,FALSE,1.5000,0,0-0,None,scheduled_30m,12.3,0.0
2026-05-19T02:00:00,1.6,0,FALSE,2.0000,0,0-0,None,scheduled_30m,1.6,0.0
2026-05-19T02:30:00,5.5,0,FALSE,2.5000,0,0-0,None,scheduled_30m,5.5,0.0
2026-05-19T03:00:00,13.2,0,FALSE,3.0000,0,0-0,None,scheduled_30m,13.2,0.0
2026-05-19T03:30:00,3.9,0,FALSE,3.5000,0,0-0,None,scheduled_30m,3.9,0.0
2026-05-19T04:00:00,19.5,0,FALSE,4.0000,0,0-0,None,scheduled_30m,19.5,0.0
2026-05-19T04:30:00,11.4,0,FALSE,4.5000,0,0-0,None,scheduled_30m,11.4,0.0
2026-05-19T05:00:00,0.5,0,FALSE,5.0000,0,0-0,None,scheduled_30m,0.5,0.0
2026-05-19T05:30:00,3.3,0,FALSE,5.5000,0,0-0,None,scheduled_30m,3.3,0.0
2026-05-19T06:00:00,85.7,0,FALSE,6.0000,0,0-0,None,scheduled_30m,85.7,0.0
2026-05-19T06:30:00,31.2,0,FALSE,6.5000,0,0-0,None,scheduled_30m,31.2,0.0
2026-05-19T07:00:00,56.6,0,FALSE,7.0000,0,0-0,None,scheduled_30m,56.6,0.0
2026-05-19T07:30:00,107.2,0,FALSE,7.5000,0,0-0,None,scheduled_30m,107.2,0.0
2026-05-19T08:00:00,234.0,0,FALSE,8.0000,0,0-0,None,scheduled_30m,234.0,0.0
2026-05-19T08:30:00,176.0,0,FALSE,8.5000,0,0-0,None,scheduled_30m,176.0,0.0
2026-05-19T09:00:00,260.4,0,FALSE,9.0000,0,0-0,None,scheduled_30m,260.4,0.0
2026-05-19T09:30:00,221.3,0,FALSE,9.5000,0,0-0,None,scheduled_30m,221.3,0.0
2026-05-19T10:00:00,543.7,1,TRUE,10.0000,0,0-0,None,scheduled_30m,543.7,0.0
2026-05-19T10:30:00,432.2,1,TRUE,10.5000,0,0-513,None,scheduled_30m,432.2,0.0
2026-05-19T11:00:00,216.2,2,TRUE,11.0000,0,635-2150,None,scheduled_30m,216.2,0.0
2026-05-19T11:30:00,599.5,2,TRUE,11.5000,1392,0-638,None,scheduled_30m,415.8,183.7
2026-05-19T12:00:00,243.4,2,TRUE,12.0000,0,429-1944,None,scheduled_30m,243.4,0.0
2026-05-19T12:30:00,2091.9,2,FALSE,12.5000,1186,0-0,None,scheduled_30m,1935.4,156.5
2026-05-19T13:00:00,223.6,2,FALSE,13.0000,0,579-2094,None,scheduled_30m,223.6,0.0
2026-05-19T13:30:00,532.3,2,TRUE,13.5000,1336,0-1091,None,scheduled_30m,356.0,176.3
2026-05-19T14:00:00,561.8,2,FALSE,14.0000,333,0-0,None,scheduled_30m,517.8,44.0
2026-05-19T14:30:00,441.0,2,TRUE,14.5000,0,0-0,None,scheduled_30m,441.0,0.0
2026-05-19T15:00:00,369.3,2,FALSE,15.0000,0,0-0,None,scheduled_30m,369.3,0.0
2026-05-19T15:30:00,493.8,3,FALSE,15.5000,0,0-0,None,scheduled_30m,493.8,0.0
2026-05-19T16:00:00,387.8,2,FALSE,16.0000,0,0-0,None,scheduled_30m,387.8,0.0
2026-05-19T16:30:00,131.6,3,TRUE,16.5000,0,519-1275,None,scheduled_30m,131.6,0.0
2026-05-19T17:00:00,169.4,3,TRUE,17.0000,291,523-1280,None,scheduled_30m,131.0,38.4
2026-05-19T17:30:00,456.9,3,TRUE,17.5000,902,0-0,None,scheduled_30m,337.8,119.1
2026-05-19T18:00:00,65.2,3,FALSE,18.0000,0,1022-1778,None,scheduled_30m,65.2,0.0
2026-05-19T18:30:00,307.0,3,FALSE,18.5000,1400,590-1346,None,scheduled_30m,122.2,184.8
2026-05-19T19:00:00,316.3,2,FALSE,19.0000,968,87-844,None,scheduled_30m,188.5,127.8
2026-05-19T19:30:00,250.1,3,FALSE,19.5000,466,87-844,None,scheduled_30m,188.6,61.5
2026-05-19T20:00:00,217.3,3,FALSE,20.0000,465,334-1091,None,scheduled_30m,155.9,61.4
2026-05-19T20:30:00,306.6,3,FALSE,20.5000,713,0-662,None,scheduled_30m,212.5,94.1
2026-05-19T21:00:00,145.3,3,FALSE,21.0000,284,699-1456,None,scheduled_30m,107.8,37.5
2026-05-19T21:30:00,205.2,3,TRUE,21.5000,1077,1038-1795,None,scheduled_30m,63.0,142.2
2026-05-19T22:00:00,189.7,0,FALSE,22.0000,1417,0-0,None,scheduled_30m,2.7,187.0
2026-05-19T22:30:00,4.8,0,FALSE,22.5000,0,0-0,None,scheduled_30m,4.8,0.0
2026-05-19T23:00:00,9.3,0,FALSE,23.0000,0,0-0,None,scheduled_30m,9.3,0.0
2026-05-19T23:30:00,16.0,0,FALSE,23.5000,0,0-0,None,scheduled_30m,16.0,0.0
2026-05-20T00:00:00,4.0,0,FALSE,0.0000,0,0-0,None,scheduled_30m,4.0,0.0
2026-05-20T00:30:00,17.3,0,FALSE,0.5000,0,0-0,None,scheduled_30m,17.3,0.0
2026-05-20T01:00:00,17.3,0,FALSE,1.0000,0,0-0,None,scheduled_30m,17.3,0.0
2026-05-20T01:30:00,5.4,0,FALSE,1.5000,0,0-0,None,scheduled_30m,5.4,0.0
2026-05-20T02:00:00,15.2,0,FALSE,2.0000,0,0-0,None,scheduled_30m,15.2,0.0
2026-05-20T02:30:00,17.3,0,FALSE,2.5000,0,0-0,None,scheduled_30m,17.3,0.0
2026-05-20T03:00:00,20.8,0,FALSE,3.0000,0,0-0,None,scheduled_30m,20.8,0.0
2026-05-20T03:30:00,0.9,0,FALSE,3.5000,0,0-0,None,scheduled_30m,0.9,0.0
2026-05-20T04:00:00,8.8,0,FALSE,4.0000,0,0-0,None,scheduled_30m,8.8,0.0
2026-05-20T04:26:54,1.0,0,TRUE,4.4483,0,0-0,None,event_motion_start,1.0,0.0
2026-05-20T04:30:00,7.6,0,TRUE,4.5000,0,0-0,None,scheduled_30m,7.6,0.0
2026-05-20T05:00:00,1.4,0,FALSE,5.0000,0,0-0,None,scheduled_30m,1.4,0.0
2026-05-20T05:30:00,1.9,0,FALSE,5.5000,0,0-0,None,scheduled_30m,1.9,0.0
2026-05-20T06:00:00,500.0,1,TRUE,6.0000,2306,0-33,None,scheduled_30m,195.6,304.4
2026-05-20T06:30:00,228.1,1,TRUE,6.5000,606,0-393,None,scheduled_30m,148.1,80.0
2026-05-20T07:00:00,132.1,1,FALSE,7.0000,14,0-528,None,scheduled_30m,130.3,1.8
2026-05-20T07:30:00,258.0,1,FALSE,7.5000,149,0-0,None,scheduled_30m,238.3,19.7
2026-05-20T08:00:00,264.8,1,FALSE,8.0000,0,0-0,None,scheduled_30m,264.8,0.0
2026-05-20T08:30:00,294.3,1,FALSE,8.5000,0,0-0,None,scheduled_30m,294.3,0.0
2026-05-20T09:00:00,356.8,1,FALSE,9.0000,0,0-1084,None,scheduled_30m,356.8,0.0
2026-05-20T09:30:00,440.7,1,TRUE,9.5000,327,0-776,None,scheduled_30m,397.5,43.2
2026-05-20T10:00:00,286.1,1,TRUE,10.0000,19,125-1639,None,scheduled_30m,283.6,2.5
2026-05-20T10:30:00,550.9,2,FALSE,10.5000,882,0-496,None,scheduled_30m,434.5,116.4
2026-05-20T11:00:00,544.2,2,FALSE,11.0000,0,0-0,None,scheduled_30m,544.2,0.0
